12A 13A 15A 18A 20A 22A 25A 25B 30A 30B 35A 35B 35C 40A 40B 40C
 7.96E-09 1.05E-08 1.10E-08 3.58E-15 4.71E-17 2.47E-08 1.00E-11 1.93E-08 1.77E-10 1.57E-08 5.78E-38 2.57E-10 3.08E-08 9.84E-38 9.82E-12 1.76E-08 
 5.39E-04 1.09E-03 8.76E-04 4.63E-25 1.11E-27 2.17E-03 2.50E-22 4.15E-03 3.58E-21 2.97E-03 2.29E-40 2.27E-18 5.25E-03 2.46E-40 3.83E-21 7.36E-03 
 8.31E-07 1.96E-07 1.59E-08 1.91E-26 7.87E-30 1.34E-05 2.30E-24 2.52E-05 2.13E-23 2.56E-05 7.93E-42 3.00E-19 4.03E-05 7.53E-42 4.27E-23 4.19E-05 
 3.35E-04 5.40E-04 7.42E-04 1.09E-20 1.13E-23 2.52E-03 1.56E-17 2.69E-03 2.34E-16 8.06E-04 6.56E-36 4.80E-15 1.00E-03 1.16E-35 5.11E-17 1.94E-03 
 1.45E-05 4.86E-05 5.43E-05 3.73E-19 3.03E-22 5.55E-05 8.70E-16 8.14E-05 1.48E-14 5.73E-05 1.49E-39 6.68E-14 1.65E-04 1.67E-39 3.15E-15 9.81E-05 
 2.86E-06 2.57E-06 4.30E-06 2.14E-15 5.52E-18 1.75E-05 2.80E-11 1.19E-05 5.67E-10 4.80E-06 3.32E-40 1.59E-10 2.00E-05 6.07E-40 3.03E-11 6.42E-06 
 1.39E-08 8.46E-08 5.39E-08 1.29E-15 2.76E-18 5.35E-08 1.11E-11 1.33E-07 1.91E-10 2.73E-07 1.33E-43 1.22E-10 5.78E-07 2.29E-43 1.05E-11 6.71E-08 
 4.18E-09 1.04E-08 2.71E-09 1.50E-15 1.94E-18 5.82E-09 3.33E-11 1.69E-09 5.67E-10 7.74E-08 1.01E-46 2.55E-10 7.61E-47 1.73E-46 2.93E-11 8.45E-09  
 2.98E-09 1.57E-12 5.03E-13 4.58E-16 6.80E-19 1.76E-12 2.88E-11 4.20E-11 2.23E-10 2.68E-10 8.19E-51 2.65E-10 2.55E-10 8.43E-51 5.35E-13 1.90E-11 
 1.08E-08 4.55E-16 7.77E-17 7.86E-17 5.81E-19 1.45E-14 1.08E-10 1.52E-10 1.28E-09 1.35E-09 8.44E-55 9.78E-10 9.50E-10 5.45E-55 5.90E-14 9.60E-13 
  0.000173 0.000422 0.000352 1.17e-21 8.35e-25 0.000648 5.87e-18 0.000911 1.00E-16 6.48E-04 1.67E-45 4.44E-17 8.75E-04 6.81E-46 2.58E-17 1.35E-03 
  0.000399 0.00144 0.00193 4.35e-20 3.03e-23 0.000789 2.14e-16 0.00353 3.69E-15 1.27E-03 8.19E-46 1.54E-15 1.26E-02 9.29E-46 9.44E-16 2.69E-03 
  6.8e-05 0.000295 0.000268 4.42e-20 2.51e-23 0.000118 2.45e-16 0.000375 3.55E-15 3.67E-04 2.70E-49 2.46E-14 1.46E-03 1.98E-49 7.56E-16 3.01E-04 
  1.5e-06 1.45e-05 1.81e-06 2.85e-20 1.69e-23 2.45e-06 3.43e-16 7.35e-07 6.06E-15 2.77E-05 2.23E-52 9.37E-15 2.65E-06 1.26E-52 1.56E-15 1.01E-05 
  1.91e-09 7.97e-09 3.48e-09 1.25e-16 1.84e-19 8.07e-09 2.75e-12 3.34e-09 1.41E-10 5.47E-08 3.57E-50 7.44E-12 7.87E-09 8.21E-50 8.99E-12 1.68E-08 
  6.37e-11 1.46e-10 7.98e-11 1.06e-16 3.46e-20 3.32e-10 1.2e-12 1.25e-10 8.75E-11 1.58E-09 1.10E-53 2.62E-12 1.81E-10 1.59E-53 3.96E-13 3.29E-10 
  2.35e-09 1.31e-12 1.06e-13 5.71e-17 1.5e-19 4.41e-13 4.76e-13 1e-11 9.59E-12 2.96E-11 3.07E-57 1.77E-10 2.28E-10 2.70E-57 3.99E-14 3.77E-12 
  0.0811 0.191 0.16 3.19e-25 3.12e-28 0.167 1.63e-21 0.288 2.34E-20 3.24E-01 5.59E-52 2.79E-19 5.77E-01 3.75E-52 3.12E-20 7.23E-01 
  0.00354 0.00889 0.00529 3.06e-25 3.64e-29 0.00516 4.33e-22 0.00635  6.58E-21 1.10E-02 3.14E-55 1.22E-18 1.31E-02 7.83E-56 7.23E-21 1.83E-02 
  0.00255 0.0207 0.00292 5.97e-21 1.79e-24 0.0027 1.45e-17 0.00179	6.14E-16 2.53E-02 7.64E-53 1.92E-16 6.12E-03 1.88E-52 1.67E-16 1.27E-02 
  0.00018 0.000621 0.000267 1.91e-20 1.17e-23 0.000228 1.68e-17 0.000202  7.41E-16 7.29E-04 4.03E-56 7.12E-16 5.82E-04 5.21E-56 2.19E-15 8.06E-04 
  0.0022 0.00454 0.00482 1.23e-16 1.45e-19 0.00247 3.28e-15 0.00413	 1.18E-12 3.26E-03 4.03E-54 8.96E-13 1.27E-02 1.01E-53 1.14E-11 1.03E-02 
  2.39e-05 0.0001 9.99e-05 9.84e-17 9.39e-20 3.64e-05 5.53e-12 0.000115 9.08E-11 9.80E-05 2.85E-57 1.02E-10 4.33E-04 3.71E-57 4.19E-12 1.01E-04 
  2.92e-05 0.000275 0.000136 2.03e-16 1.46e-19 0.000102 1.31e-11 0.000135 2.40E-10 8.48E-04 1.86E-60 1.03E-10 4.92E-04 1.61E-60 1.03E-11 1.60E-04 
  1.79e-09 6.41e-12 7.08e-13 1.5e-16 3.18e-20 4.32e-12 1.64e-11 2.18e-11 2.83E-10 6.36E-10 2.22E-64 1.14E-10 1.10E-10 1.56E-64 5.37E-13 4.48E-11 
  3.7e-09 6.13e-12 1.25e-12 1.9e-16 8.01e-20 3.91e-12 4.19e-11 5.92e-11 6.65E-10 1.88E-09 4.03E-68 3.14E-10 3.06E-10 1.73E-68 1.98E-11 2.32E-10 
  0.000793 0.00063 0.000157 6.62e-23 1.58e-26 0.00216 3.83e-22 0.00193 1.10E-19 5.64E-03 2.04E-61 4.55E-18 1.58E-03 3.00E-61 5.65E-18 6.61E-03 
  0.000133 0.000322 0.00016 7.28e-22 1.17e-25 0.000197 2.15e-17 0.000161 3.11E-16 4.83E-04 4.44E-64 1.25E-16 2.74E-04 3.92E-64 7.00E-17 6.88E-04 
  1.02e-05 5.17e-05 1.13e-05 2.66e-23 5.3e-27 9.39e-06 3.45e-19 5.93e-06 3.65E-18 4.16E-05 6.61E-69 2.26E-18 1.33E-05 3.70E-69 4.53E-18 3.95E-05 
  4.06e-06 1.44e-05 1.04e-05 4.5e-18 1.36e-20 6.79e-06 1.61e-15 7.43e-06 1.13E-13 2.92E-05 2.35E-67 1.49E-13 2.03E-05 8.39E-67 3.37E-12 2.46E-05 
  5.69e-12 7.69e-11 7.49e-12 3.21e-18 2.81e-21 1.98e-11 7.74e-16 6.08e-12 1.88E-14 4.04E-09 1.51E-70 1.44E-14 2.07E-11 3.33E-70 2.31E-13 9.52E-11 
  1.64e-08 2.25e-10 2.54e-10 2.92e-17 2.19e-20 1.51e-10 1.02e-11 3.56e-10 1.23E-10 1.46E-09 6.41E-73 1.28E-10 2.26E-09 2.49E-73 6.01E-12 2.54E-10 
  5.99e-12 2.15e-20 6.19e-21 1.14e-19 2.09e-23 5.57e-18 7.71e-16 7.77e-15 4.77E-15 2.40E-14 8.63E-81 3.48E-14 5.51E-14 5.98E-81 4.12E-16 8.69E-15 
  4.46e-09 9.35e-11 3.5e-15 1.43e-33 9.27e-38 9.93e-06 6.81e-34 7.97e-05 4.61E-32 6.34E-05 2.16E-74 1.56E-27 4.32E-06 1.47E-74 1.87E-28 3.40E-06 
  1.39e-13 2.29e-15 2.96e-22 7.84e-36 2.76e-40 3.03e-08 3.89e-33 4.68e-07 5.61E-33 1.98E-07 1.34E-81 1.84E-29 4.91E-09 5.24E-82 6.20E-31 1.71E-09 
  0.000582 0.00288 0.000628 2.87e-23 5.64e-26 0.000592 5.17e-21 0.000386 2.85E-19 2.58E-03 2.34E-73 3.86E-18 7.42E-04 2.30E-73 4.54E-17 2.30E-03 
  2.82e-06 4.31e-06 1.09e-06 4.33e-23 1.67e-26 6.56e-06 8.39e-22 3.8e-06 7.09E-20 1.48E-05 2.54E-74 6.44E-18 5.65E-07 5.34E-74 2.30E-17 1.87E-05 
  3.97e-05 4.48e-05 6.42e-05 5.76e-18 7.96e-21 6.94e-05 2.15e-16 9.62e-05 3.09E-14 4.67E-04 4.52E-72 1.05E-13 3.59E-04 1.28E-71 2.19E-12 2.19E-04 
  6.21e-07 1.64e-06 9.85e-07 2.12e-18 1.04e-21 8.11e-07 6.71e-16 7.55e-07 1.41E-14 4.22E-06 4.67E-76 2.17E-14 4.20E-06 1.19E-75 1.18E-13 2.51E-06 
  1.13e-07 1.26e-06 1.24e-06 7.16e-17 2.14e-20 1.1e-06 1.37e-11 1.98e-06  1.93E-10 1.02E-05 2.97E-77 1.23E-10 7.46E-06 2.39E-77 9.44E-12 6.37E-07 
  6.62e-10 8.05e-10 5.27e-10 9.44e-18 2.54e-21 9.75e-10 2.92e-12 3.62e-10 4.13E-11 1.44E-08 1.68E-82 1.87E-11 1.50E-09 1.36E-82 2.10E-12 7.39E-10 
